Date,ETF Close,NIFTY Return,Invested Today,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close
2022-11-01,200.96,0.0074,0,0,0.0,0.0,0.0,18145.4
2022-11-02,198.4,-0.0034,2000,2000,10.0806,10.0806,2000.0,18082.85
2022-11-03,202.71,-0.0017,1000,3000,4.9332,15.0138,3043.45,18052.7
2022-11-04,203.75,0.0036,0,3000,0.0,15.0138,3059.06,18117.15
2022-11-07,204.9,0.0047,0,3000,0.0,15.0138,3076.33,18202.8
2022-11-09,202.96,-0.0025,3000,6000,14.7812,29.795,6047.2,18157.0
2022-11-10,199.84,-0.0071,1000,7000,5.004,34.799,6954.24,18028.2
2022-11-11,199.46,0.0178,0,7000,0.0,34.799,6941.02,18349.7
2022-11-14,203.03,-0.0011,2000,9000,9.8508,44.6498,9065.25,18329.15
2022-11-15,199.98,0.0041,0,9000,0.0,44.6498,8929.07,18403.4
2022-11-16,198.15,0.0003,0,9000,0.0,44.6498,8847.36,18409.65
2022-11-17,200.05,-0.0036,3000,12000,14.9963,59.6461,11932.19,18343.9
2022-11-18,194.62,-0.002,1000,13000,5.1382,64.7843,12608.31,18307.65
2022-11-21,195.46,-0.0081,1000,14000,5.1161,69.9004,13662.73,18159.95
2022-11-22,200.63,0.0046,0,14000,0.0,69.9004,14024.12,18244.2
2022-11-23,198.95,0.0013,0,14000,0.0,69.9004,13906.69,18267.25
2022-11-24,200.5,0.0119,0,14000,0.0,69.9004,14015.03,18484.1
2022-11-25,207.27,0.0015,0,14000,0.0,69.9004,14488.26,18512.75
2022-11-28,201.8,0.0027,0,14000,0.0,69.9004,14105.9,18562.75
2022-11-29,200.49,0.003,0,14000,0.0,69.9004,14014.33,18618.05
2022-11-30,201.17,0.0075,0,14000,0.0,69.9004,14061.87,18758.35
2022-12-01,202.6,0.0029,0,14000,0.0,69.9004,14161.82,18812.5
2022-12-02,202.86,-0.0062,9000,23000,44.3656,114.266,23180.0,18696.1
2022-12-05,201.65,0.0003,0,23000,0.0,114.266,23041.73,18701.05
2022-12-06,203.01,-0.0031,2000,25000,9.8517,124.1177,25197.14,18642.75
2022-12-07,202.0,-0.0044,1000,26000,4.9505,129.0682,26071.78,18560.5
2022-12-08,202.94,0.0026,0,26000,0.0,129.0682,26193.1,18609.35
2022-12-09,202.3,-0.0061,2000,28000,9.8863,138.9545,28110.5,18496.6
2022-12-12,200.11,0.0,0,28000,0.0,138.9545,27806.19,18497.15
2022-12-13,202.98,0.006,0,28000,0.0,138.9545,28204.99,18608.0
2022-12-14,201.12,0.0028,0,28000,0.0,138.9545,27946.53,18660.3
2022-12-15,200.13,-0.0132,4000,32000,19.987,158.9415,31808.97,18414.9
2022-12-16,198.45,-0.0079,1000,33000,5.0391,163.9806,32541.95,18269.0
2022-12-19,197.71,0.0083,0,33000,0.0,163.9806,32420.6,18420.45
2022-12-20,196.65,-0.0019,2000,35000,10.1704,174.1509,34246.78,18385.3
2022-12-21,195.46,-0.0101,1000,36000,5.1161,179.2671,35039.54,18199.1
2022-12-22,193.4,-0.0039,1000,37000,5.1706,184.4377,35670.25,18127.35
2022-12-23,187.03,-0.0177,1000,38000,5.3467,189.7844,35495.38,17806.8
2022-12-26,191.11,0.0117,0,38000,0.0,189.7844,36269.7,18014.6
2022-12-27,192.26,0.0065,0,38000,0.0,189.7844,36487.95,18132.3
2022-12-28,195.71,-0.0005,3000,41000,15.3288,205.1132,40142.71,18122.5
2022-12-29,194.76,0.0038,0,41000,0.0,205.1132,39947.85,18191.0
2022-12-30,195.0,-0.0047,2000,43000,10.2564,215.3696,41997.08,18105.3
2023-01-02,195.9,0.0051,0,43000,0.0,215.3696,42190.91,18197.45
2023-01-03,195.0,0.0019,0,43000,0.0,215.3696,41997.08,18232.55
2023-01-04,192.32,-0.0104,3000,46000,15.599,230.9686,44419.89,18042.95
2023-01-05,192.15,-0.0028,1000,47000,5.2043,236.1729,45380.63,17992.15
2023-01-06,192.63,-0.0074,1000,48000,5.1913,241.3642,46493.99,17859.45
2023-01-09,193.06,0.0135,0,48000,0.0,241.3642,46597.78,18101.2
2023-01-10,190.53,-0.0103,2000,50000,10.497,251.8612,47987.12,17914.15
2023-01-11,190.1,-0.001,1000,51000,5.2604,257.1216,48878.82,17895.7
2023-01-12,190.06,-0.0021,1000,52000,5.2615,262.3831,49868.54,17858.2
2023-01-13,193.6,0.0055,0,52000,0.0,262.3831,50797.37,17956.6
2023-01-16,192.2,-0.0034,2000,54000,10.4058,272.789,52430.04,17894.85
2023-01-17,192.96,0.0089,0,54000,0.0,272.789,52637.36,18053.3
2023-01-18,190.25,0.0062,0,54000,0.0,272.789,51898.1,18165.35
2023-01-19,191.1,-0.0032,3000,57000,15.6986,288.4875,55129.97,18107.85
2023-01-20,191.0,-0.0044,1000,58000,5.2356,293.7232,56101.12,18027.65
2023-01-23,193.0,0.005,0,58000,0.0,293.7232,56688.57,18118.55
2023-01-24,189.4,-0.0,2000,60000,10.5597,304.2828,57631.16,18118.3
2023-01-25,188.0,-0.0125,1000,61000,5.3191,309.602,58205.17,17891.95
2023-01-27,182.61,-0.0161,1000,62000,5.4762,315.0781,57536.41,17604.35
2023-01-30,184.93,0.0025,0,62000,0.0,315.0781,58267.4,17648.95
2023-01-31,185.0,0.0007,0,62000,0.0,315.0781,58289.45,17662.15
2023-02-01,181.0,-0.0026,3000,65000,16.5746,331.6527,60029.14,17616.3
2023-02-02,179.78,-0.0003,1000,66000,5.5624,337.2151,60624.52,17610.4
2023-02-03,181.8,0.0138,0,66000,0.0,337.2151,61305.7,17854.05
2023-02-06,179.42,-0.005,2000,68000,11.147,348.3621,62503.12,17764.6
2023-02-07,182.9,-0.0024,1000,69000,5.4675,353.8295,64715.42,17721.5
2023-02-08,183.9,0.0085,0,69000,0.0,353.8295,65069.25,17871.7
2023-02-09,183.95,0.0012,0,69000,0.0,353.8295,65086.95,17893.45
2023-02-10,183.0,-0.0021,3000,72000,16.3934,370.223,67750.81,17856.5
2023-02-13,183.24,-0.0048,1000,73000,5.4573,375.6803,68839.66,17770.9
2023-02-14,182.18,0.0089,0,73000,0.0,375.6803,68441.44,17929.85
2023-02-15,183.86,0.0048,0,73000,0.0,375.6803,69072.58,18015.85
2023-02-16,184.11,0.0011,0,73000,0.0,375.6803,69166.5,18035.85
2023-02-17,182.67,-0.0051,4000,77000,21.8974,397.5777,72625.52,17944.2
2023-02-20,182.05,-0.0056,1000,78000,5.493,403.0707,73379.03,17844.6
2023-02-21,181.19,-0.001,1000,79000,5.5191,408.5898,74032.38,17826.7
2023-02-22,181.7,-0.0153,1000,80000,5.5036,414.0934,75240.77,17554.3
2023-02-23,181.75,-0.0025,1000,81000,5.5021,419.5954,76261.47,17511.25
