Date,ETF Close,NIFTY Return,RSI,MA20,Invested Today,Carry Over,Additional Invest,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close,Daily_Return
2023-01-31,11.66,0.0153,30.97,11780.22,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,11596.65,
2023-02-01,11.55,-0.0085,28.73,11755.39,1926.85,500.0,426.85,1926.85,166.8266,166.8266,1926.85,11497.65,inf
2023-02-02,11.57,0.0018,31.32,11736.94,0.0,1500.0,0.0,1926.85,0.0,166.8266,1930.18,11518.05,0.0017282092534447457
2023-02-03,11.56,-0.0012,31.06,11715.54,1807.95,750.0,57.95,3734.8,156.3973,323.2239,3736.47,11504.7,0.9358142763887305
2023-02-06,11.64,0.0085,39.36,11703.15,0.0,1750.0,0.0,3734.8,0.0,323.2239,3762.33,11602.95,0.006920970862873244
2023-02-07,11.62,-0.0001,39.59,11685.79,1880.82,875.0,5.82,5615.62,161.8604,485.0843,5636.68,11601.6,0.49818862247596574
2023-02-08,11.75,0.0084,42.56,11675.78,0.0,1875.0,0.0,5615.62,0.0,485.0843,5699.74,11699.35,0.011187436576140408
2023-02-09,11.77,0.0009,43.66,11668.11,0.0,2875.0,0.0,5615.62,0.0,485.0843,5709.44,11709.45,0.0017018320133901366
2023-02-10,11.79,0.0025,49.42,11663.2,0.0,3875.0,0.0,5615.62,0.0,485.0843,5719.14,11738.3,0.001698940701715168
2023-02-13,11.63,-0.0131,41.1,11650.93,3590.7,1937.5,653.2,9206.32,308.7449,793.8292,9232.23,11584.95,0.6142689285452008
2023-02-14,11.59,-0.0043,40.76,11637.66,2184.33,968.75,215.58,11390.65,188.4669,982.2961,11384.81,11535.0,0.2331592692123139
2023-02-15,11.65,0.0048,50.37,11627.5,0.0,1968.75,0.0,11390.65,0.0,982.2961,11443.75,11590.35,0.005177073662186782
2023-02-16,11.73,0.0077,63.19,11619.28,0.0,2968.75,0.0,11390.65,0.0,982.2961,11522.33,11679.2,0.006866630256690431
2023-02-17,11.66,-0.0063,59.51,11607.94,0.0,3968.75,314.88,11390.65,0.0,982.2961,11453.57,11605.65,-0.005967543022982302
2023-02-20,11.66,0.0,50.6,11600.8,0.0,4968.75,0.0,11390.65,0.0,982.2961,11453.57,11606.15,0.0
2023-02-21,11.69,-0.0027,55.36,11591.0,0.0,5968.75,133.77,11390.65,0.0,982.2961,11483.04,11575.1,0.002572996890925827
2023-02-22,11.52,-0.01,46.4,11577.47,0.0,6968.75,500.64,11390.65,0.0,982.2961,11316.05,11459.2,-0.014542316320417026
2023-02-23,11.5,-0.0024,45.59,11569.87,0.0,7968.75,121.95,11390.65,0.0,982.2961,11296.41,11431.25,-0.001735587948091366
2023-02-24,11.45,-0.0024,36.91,11568.06,5106.41,3984.38,122.03,16497.06,445.9746,1428.2707,16353.7,11403.35,0.44769001833325817
2023-02-27,11.42,-0.0056,34.13,11563.94,3270.61,1992.19,278.43,19767.68,286.3936,1714.6642,19581.47,11339.85,0.19737246005491116
2023-02-28,11.47,0.0063,31.95,11554.67,0.0,2992.19,0.0,19767.68,0.0,1714.6642,19667.2,11411.25,0.0043781187009963585
2023-03-01,11.64,0.0141,42.77,11558.4,0.0,3992.19,0.0,19767.68,0.0,1714.6642,19958.69,11572.2,0.014821123494956012
2023-03-02,11.61,-0.0022,39.88,11559.84,3104.76,1996.09,108.67,22872.44,267.4211,1982.0854,23012.01,11547.05,0.15298198428854803
2023-03-03,11.65,0.005,51.19,11564.87,0.0,2996.09,0.0,22872.44,0.0,1982.0854,23091.29,11605.2,0.003445157550340028
2023-03-06,11.74,0.007,58.61,11569.07,0.0,3996.09,0.0,22872.44,0.0,1982.0854,23269.68,11686.9,0.007725423742025672
2023-03-08,11.75,0.0032,57.77,11575.22,0.0,4996.09,0.0,22872.44,0.0,1982.0854,23289.5,11724.6,0.0008517521512974024
2023-03-09,11.74,-0.0055,48.86,11573.25,0.0,5996.09,275.49,22872.44,0.0,1982.0854,23269.68,11660.0,-0.000851027286974837
