Date,ETF Close,NIFTY Return,RSI,MA20,Invested Today,Carry Over,Additional Invest,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close,Daily_Return
2020-02-25,64.61,-0.0044,47.02,6677.08,0.0,1000.0,221.28,0.0,0.0,0.0,0.0,6591.25,
2020-02-26,65.56,-0.0115,36.01,6665.88,2074.63,500.0,574.63,2074.63,31.6447,31.6447,2074.63,6515.5,inf
2020-02-27,65.08,-0.0071,29.97,6654.79,1604.54,250.0,354.54,3679.16,24.6549,56.2996,3663.98,6469.3,0.7660884109455661
2020-02-28,62.95,-0.0299,18.41,6635.5,2618.98,125.0,1493.98,6298.14,41.6041,97.9037,6163.04,6276.0,0.6820615833055856
2020-03-02,63.76,-0.0066,18.51,6622.06,1393.52,62.5,331.02,7691.67,21.8558,119.7594,7635.86,6234.45,0.23897621952802517
2020-03-03,63.4,0.0173,27.65,6611.18,0.0,1062.5,0.0,7691.67,0.0,119.7594,7592.75,6342.05,-0.005645729492159357
2020-03-04,62.3,-0.0153,25.28,6591.89,2296.78,531.25,765.53,9988.44,36.8664,156.6258,9757.79,6244.95,0.28514569819894
2020-03-05,63.08,0.0024,26.6,6569.79,0.0,1531.25,0.0,9988.44,0.0,156.6258,9879.96,6260.15,0.012520253049102203
2020-03-06,62.14,-0.0199,24.58,6539.55,2761.61,765.62,995.98,12750.05,44.4417,201.0675,12494.34,6135.45,0.2646144316373751
2020-03-09,59.35,-0.0419,20.82,6493.87,3475.98,382.81,2093.16,16226.03,58.5674,259.6349,15409.33,5878.6,0.23330484043174748
2020-03-11,59.05,-0.0074,20.73,6448.32,1560.97,191.41,369.56,17786.99,26.4347,286.0696,16892.41,5835.15,0.0962455862779239
2020-03-12,54.79,-0.0783,10.46,6379.68,5009.06,95.7,3913.35,22796.05,91.4228,377.4924,20682.81,5378.45,0.22438479766948594
2020-03-13,54.0,0.0229,14.24,6317.76,0.0,1095.7,0.0,22796.05,0.0,377.4924,20384.59,5501.75,-0.014418737105838186
2020-03-16,54.0,-0.0586,12.73,6240.12,4476.92,547.85,2929.07,27272.97,82.9059,460.3983,24861.51,5179.45,0.2196227640585362
2020-03-17,53.09,-0.0243,12.12,6158.29,2487.38,273.93,1213.45,29760.34,46.852,507.2504,26929.92,5053.75,0.08319727965035106
2020-03-18,49.84,-0.0537,11.06,6065.86,3824.08,136.96,2687.11,33584.42,76.7271,583.9774,29105.43,4782.15,0.08078412412662206
2020-03-19,47.2,-0.0401,10.38,5965.74,3075.42,68.48,2006.94,36659.84,65.1573,649.1347,30639.16,4590.2,0.052695665379278056
2020-03-20,49.81,0.0436,18.76,5870.88,0.0,1068.48,0.0,36659.84,0.0,649.1347,32333.4,4790.3,0.05529655512749043
2020-03-23,49.7,-0.1303,15.07,5742.27,8051.58,534.24,6517.34,44711.42,162.0036,811.1383,40313.57,4165.9,0.24680887255902562
2020-03-24,46.67,0.0103,13.18,5621.68,0.0,1534.24,0.0,44711.42,0.0,811.1383,37855.82,4208.9,-0.06096582366681991
2020-03-25,48.0,0.0328,17.69,5509.48,0.0,2534.24,0.0,44711.42,0.0,811.1383,38934.64,4347.05,0.02849812789684658
2020-03-26,51.22,0.0367,21.55,5409.04,0.0,3534.24,0.0,44711.42,0.0,811.1383,41546.5,4506.8,0.06708319378322236
2020-03-27,52.8,-0.0039,22.33,5310.03,2964.05,1767.12,196.92,47675.47,56.1372,867.2755,45792.15,4489.05,0.10219031687386426
2020-03-30,53.94,-0.0236,23.52,5215.39,3061.98,883.56,1178.42,50737.45,56.7665,924.042,49842.82,4383.25,0.08845773784371325
2020-03-31,50.96,0.0251,26.79,5128.33,0.0,1883.56,0.0,50737.45,0.0,924.042,47089.18,4493.25,-0.055246472811931624
2020-04-01,47.27,-0.0182,30.78,5031.81,2849.81,941.78,908.03,53587.26,60.2879,984.3299,46529.27,4411.65,-0.011890417289067368
2020-04-03,48.48,-0.0134,26.56,4937.18,2142.97,470.89,672.08,55730.23,44.2033,1028.5331,49863.29,4352.35,0.07165425118425461
2020-04-07,48.11,0.0481,36.8,4852.27,0.0,1470.89,0.0,55730.23,0.0,1028.5331,49482.73,4561.85,-0.0076320675992297415
2020-04-08,50.0,0.0165,40.9,4777.35,0.0,2470.89,0.0,55730.23,0.0,1028.5331,51426.66,4637.1,0.039285019238024965
2020-04-09,48.92,0.0322,50.09,4722.73,0.0,3470.89,0.0,55730.23,0.0,1028.5331,50315.84,4786.25,-0.021600080580772785
2020-04-13,48.07,-0.0111,53.52,4667.62,0.0,4470.89,555.76,55730.23,0.0,1028.5331,49441.59,4733.05,-0.01737524405833235
2020-04-15,49.38,0.0132,50.14,4638.48,0.0,5470.89,0.0,55730.23,0.0,1028.5331,50788.97,4795.6,0.027251955287036722
2020-04-16,49.05,0.0155,76.28,4606.89,0.0,6470.89,0.0,55730.23,0.0,1028.5331,50449.55,4869.9,-0.006682947104459824
2020-04-17,49.57,0.0222,77.38,4596.82,0.0,7470.89,0.0,55730.23,0.0,1028.5331,50984.39,4978.15,0.010601482074666713
2020-04-20,49.93,0.0048,75.38,4594.23,0.0,8470.89,0.0,55730.23,0.0,1028.5331,51354.66,5001.85,0.0072624189482310975
2020-04-21,49.27,-0.029,63.72,4597.96,0.0,9470.89,1449.96,55730.23,0.0,1028.5331,50675.83,4856.8,-0.013218469365779084
2020-04-22,51.5,0.0069,65.55,4612.98,0.0,10470.89,0.0,55730.23,0.0,1028.5331,52969.46,4890.55,0.04526082749902671
2020-04-23,49.56,0.0112,72.66,4620.74,0.0,11470.89,0.0,55730.23,0.0,1028.5331,50974.1,4945.55,-0.03767000834065515
2020-04-24,49.02,-0.0175,65.04,4655.41,0.0,12470.89,872.5,55730.23,0.0,1028.5331,50418.69,4859.25,-0.01089592557789143
2020-04-27,50.5,0.0168,71.75,4692.02,0.0,13470.89,0.0,55730.23,0.0,1028.5331,51940.92,4941.0,0.030191780072032826
2020-04-28,49.94,0.0113,76.55,4724.51,0.0,14470.89,0.0,55730.23,0.0,1028.5331,51364.94,4996.9,-0.011089137427677365
2020-04-29,51.15,0.0123,73.3,4752.08,0.0,15470.89,0.0,55730.23,0.0,1028.5331,52609.47,5058.3,0.02422917266135216
2020-04-30,52.16,0.018,73.69,4785.11,0.0,16470.89,0.0,55730.23,0.0,1028.5331,53648.29,5149.6,0.01974587464956401
2020-05-04,49.14,-0.0387,57.25,4813.46,0.0,17470.89,1935.1,55730.23,0.0,1028.5331,50542.12,4950.3,-0.057898769932834715
2020-05-05,51.06,-0.0065,58.33,4834.7,0.0,18470.89,325.74,55730.23,0.0,1028.5331,52516.9,4918.05,0.039071966114599066
2020-05-06,49.65,0.0052,56.89,4861.3,0.0,19470.89,0.0,55730.23,0.0,1028.5331,51066.67,4943.65,-0.027614539319723796
2020-05-07,49.6,-0.0048,52.44,4889.68,0.0,20470.89,240.71,55730.23,0.0,1028.5331,51015.24,4919.85,-0.0010071148167679622
2020-05-08,51.0,-0.0036,45.93,4906.7,0.0,21470.89,178.87,55730.23,0.0,1028.5331,52455.19,4902.25,0.028225879168656265
2020-05-11,50.3,0.004,45.69,4920.93,0.0,22470.89,0.0,55730.23,0.0,1028.5331,51735.22,4921.85,-0.013725429266389089
2020-05-12,49.18,-0.0066,52.01,4926.1,0.0,23470.89,327.62,55730.23,0.0,1028.5331,50583.26,4889.6,-0.02226645600424626
