Date,ETF Close,NIFTY Return,RSI,MA20,Invested Today,Carry Over,Additional Invest,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close,Daily_Return
2023-01-31,32.49,0.0153,30.97,11780.22,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,11596.65,
2023-02-01,32.36,-0.0085,28.73,11755.39,1926.85,500.0,426.85,1926.85,59.5441,59.5441,1926.85,11497.65,inf
2023-02-02,32.24,0.0018,31.32,11736.94,0.0,1500.0,0.0,1926.85,0.0,59.5441,1919.7,11518.05,-0.0037107195682071215
2023-02-03,32.21,-0.0012,31.06,11715.54,1807.95,750.0,57.95,3734.8,56.1302,115.6743,3725.87,11504.7,0.9408605511277803
2023-02-06,32.46,0.0085,39.36,11703.15,0.0,1750.0,0.0,3734.8,0.0,115.6743,3754.79,11602.95,0.0077619455321844555
2023-02-07,32.46,-0.0001,39.59,11685.79,1880.82,875.0,5.82,5615.62,57.9426,173.6169,5635.6,11601.6,0.5009095049257084
2023-02-08,32.75,0.0084,42.56,11675.78,0.0,1875.0,0.0,5615.62,0.0,173.6169,5685.95,11699.35,0.008934274966285738
2023-02-09,32.84,0.0009,43.66,11668.11,0.0,2875.0,0.0,5615.62,0.0,173.6169,5701.58,11709.45,0.002748881013726834
2023-02-10,32.92,0.0025,49.42,11663.2,0.0,3875.0,0.0,5615.62,0.0,173.6169,5715.47,11738.3,0.0024361668169174955
2023-02-13,32.51,-0.0131,41.1,11650.93,3590.7,1937.5,653.2,9206.32,110.4492,284.0661,9234.99,11584.95,0.6157883778586888
2023-02-14,32.31,-0.0043,40.76,11637.66,2184.33,968.75,215.58,11390.65,67.6054,351.6715,11362.51,11535.0,0.23037599391011798
2023-02-15,32.51,0.0048,50.37,11627.5,0.0,1968.75,0.0,11390.65,0.0,351.6715,11432.84,11590.35,0.006189653518456684
2023-02-16,32.78,0.0077,63.19,11619.28,0.0,2968.75,0.0,11390.65,0.0,351.6715,11527.79,11679.2,0.008305023073881923
2023-02-17,32.5,-0.0063,59.51,11607.94,0.0,3968.75,314.88,11390.65,0.0,351.6715,11429.32,11605.65,-0.008541966847071425
2023-02-20,32.6,0.0,50.6,11600.8,0.0,4968.75,0.0,11390.65,0.0,351.6715,11464.49,11606.15,0.0030771734451393584
2023-02-21,32.47,-0.0027,55.36,11591.0,0.0,5968.75,133.77,11390.65,0.0,351.6715,11418.77,11575.1,-0.003987966320350922
2023-02-22,32.01,-0.01,46.4,11577.47,0.0,6968.75,500.64,11390.65,0.0,351.6715,11257.01,11459.2,-0.014166149243745152
2023-02-23,31.96,-0.0024,45.59,11569.87,0.0,7968.75,121.95,11390.65,0.0,351.6715,11239.42,11431.25,-0.0015625818934157376
2023-02-24,31.98,-0.0024,36.91,11568.06,5106.41,3984.38,122.03,16497.06,159.6751,511.3466,16352.86,11403.35,0.4549558607116737
2023-02-27,31.6,-0.0056,34.13,11563.94,3270.61,1992.19,278.43,19767.68,103.5005,614.8471,19429.17,11339.85,0.18812061009511472
2023-02-28,31.79,0.0063,31.95,11554.67,0.0,2992.19,0.0,19767.68,0.0,614.8471,19545.99,11411.25,0.006012608876241332
2023-03-01,32.39,0.0141,42.77,11558.4,0.0,3992.19,0.0,19767.68,0.0,614.8471,19914.9,11572.2,0.018873948057888112
2023-03-02,32.37,-0.0022,39.88,11559.84,3104.76,1996.09,108.67,22872.44,95.9147,710.7618,23007.36,11547.05,0.1552837322808549
2023-03-03,32.43,0.005,51.19,11564.87,0.0,2996.09,0.0,22872.44,0.0,710.7618,23050.0,11605.2,0.0018533199810841783
2023-03-06,32.88,0.007,58.61,11569.07,0.0,3996.09,0.0,22872.44,0.0,710.7618,23369.85,11686.9,0.013876355748372982
2023-03-08,32.86,0.0032,57.77,11575.22,0.0,4996.09,0.0,22872.44,0.0,710.7618,23355.63,11724.6,-0.0006084763060095755
2023-03-09,32.91,-0.0055,48.86,11573.25,0.0,5996.09,275.49,22872.44,0.0,710.7618,23391.17,11660.0,0.0015216887748263908
2023-03-10,32.65,-0.0067,48.61,11566.88,0.0,6996.09,333.83,22872.44,0.0,710.7618,23206.37,11582.15,-0.007900417123213543
2023-03-13,31.99,-0.0179,39.01,11548.73,5391.45,3498.05,893.4,28263.88,168.5354,879.2972,28128.72,11375.2,0.2121120192429924
2023-03-14,31.83,-0.0062,37.6,11534.72,3058.91,1749.02,309.88,31322.79,96.1014,975.3986,31046.94,11304.7,0.10374521130005188
2023-03-15,31.86,0.0004,42.31,11523.41,0.0,2749.02,0.0,31322.79,0.0,975.3986,31076.2,11308.8,0.0009424439252307959
2023-03-16,31.89,-0.0003,43.39,11509.15,2390.43,1374.51,15.92,33713.22,74.9586,1050.3572,33495.89,11305.2,0.07786312354792413
2023-03-17,31.77,0.0043,47.48,11492.9,0.0,2374.51,0.0,33713.22,0.0,1050.3572,33369.85,11354.25,-0.003762849710815308
2023-03-20,31.51,-0.0096,45.38,11474.9,0.0,3374.51,478.46,33713.22,0.0,1050.3572,33096.75,11245.6,-0.008184034390325334
2023-03-21,31.72,0.0056,44.9,11460.0,0.0,4374.51,0.0,33713.22,0.0,1050.3572,33317.33,11308.1,0.0066647027276092174
2023-03-22,31.76,0.0028,36.79,11448.2,0.0,5374.51,0.0,33713.22,0.0,1050.3572,33359.34,11339.2,0.001260905360663589
2023-03-23,31.7,-0.0038,36.04,11440.03,3878.63,2687.26,191.37,37591.85,122.3542,1172.7113,37174.95,11295.8,0.11437906145625187
2023-03-24,31.31,-0.0116,27.36,11426.7,2924.15,1343.63,580.53,40516.0,93.3936,1266.1049,39641.75,11164.65,0.06635651157567124
2023-03-27,31.2,-0.0056,19.34,11411.64,1951.94,671.81,280.13,42467.94,62.5622,1328.6671,41454.41,11102.1,0.04572603379013307
2023-03-28,31.21,-0.0033,15.41,11397.93,1500.07,335.91,164.16,43968.0,48.0636,1376.7307,42967.76,11065.65,0.03650636928616269
2023-03-29,31.85,0.0167,30.93,11389.9,0.0,1335.91,0.0,43968.0,0.0,1376.7307,43848.87,11250.7,0.020506305192544483
2023-03-31,31.95,0.009,39.52,11378.9,0.0,2335.91,0.0,43968.0,0.0,1376.7307,43986.55,11352.25,0.003139875668403791
2023-04-03,31.89,0.0046,51.55,11371.77,0.0,3335.91,0.0,43968.0,0.0,1376.7307,43903.94,11404.35,-0.0018780740931034767
2023-04-05,32.04,0.001,56.29,11362.3,0.0,4335.91,0.0,43968.0,0.0,1376.7307,44110.45,11415.75,0.004703678075361761
2023-04-06,32.07,0.0066,59.56,11352.51,0.0,5335.91,0.0,43968.0,0.0,1376.7307,44151.75,11491.2,0.0009362860728014955
2023-04-10,32.29,0.0036,61.47,11342.92,0.0,6335.91,0.0,43968.0,0.0,1376.7307,44454.63,11532.85,0.006859977237595238
2023-04-11,32.46,0.0043,61.51,11339.06,0.0,7335.91,0.0,43968.0,0.0,1376.7307,44688.68,11582.8,0.005264918412323016
2023-04-12,32.6,0.006,71.32,11342.57,0.0,8335.91,0.0,43968.0,0.0,1376.7307,44881.42,11652.3,0.004312949051079595
2023-04-13,32.61,0.0016,69.95,11357.37,0.0,9335.91,0.0,43968.0,0.0,1376.7307,44895.19,11671.2,0.00030680847441999504
2023-04-17,32.76,0.0037,70.34,11377.86,0.0,10335.91,0.0,43968.0,0.0,1376.7307,45101.7,11714.45,0.0045998246137279875
2023-04-18,33.03,0.0059,75.72,11401.59,0.0,11335.91,0.0,43968.0,0.0,1376.7307,45473.41,11783.35,0.008241596214777047
2023-04-19,33.01,-0.0016,85.84,11424.52,0.0,12335.91,82.32,43968.0,0.0,1376.7307,45445.88,11763.95,-0.0006054087432635358
