Date,ETF Close,NIFTY Return,Invested Today,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close
2022-11-01,20.48,0.0074,0,0,0.0,0.0,0.0,18145.4
2022-11-02,20.46,-0.0034,2000,2000,97.7517,97.7517,2000.0,18082.85
2022-11-03,20.44,-0.0017,1000,3000,48.9237,146.6754,2998.04,18052.7
2022-11-04,20.49,0.0036,0,3000,0.0,146.6754,3005.38,18117.15
2022-11-07,20.64,0.0047,0,3000,0.0,146.6754,3027.38,18202.8
2022-11-09,20.5,-0.0025,3000,6000,146.3415,293.0169,6006.85,18157.0
2022-11-10,20.3,-0.0071,1000,7000,49.2611,342.2779,6948.24,18028.2
2022-11-11,20.3,0.0178,0,7000,0.0,342.2779,6948.24,18349.7
2022-11-14,20.31,-0.0011,2000,9000,98.4737,440.7516,8951.66,18329.15
2022-11-15,20.27,0.0041,0,9000,0.0,440.7516,8934.03,18403.4
2022-11-16,20.21,0.0003,0,9000,0.0,440.7516,8907.59,18409.65
2022-11-17,20.17,-0.0036,3000,12000,148.7357,589.4873,11889.96,18343.9
2022-11-18,19.88,-0.002,1000,13000,50.3018,639.7892,12719.01,18307.65
2022-11-21,19.91,-0.0081,1000,14000,50.226,690.0152,13738.2,18159.95
2022-11-22,20.17,0.0046,0,14000,0.0,690.0152,13917.61,18244.2
2022-11-23,20.14,0.0013,0,14000,0.0,690.0152,13896.91,18267.25
2022-11-24,20.19,0.0119,0,14000,0.0,690.0152,13931.41,18484.1
2022-11-25,20.3,0.0015,0,14000,0.0,690.0152,14007.31,18512.75
2022-11-28,20.37,0.0027,0,14000,0.0,690.0152,14055.61,18562.75
2022-11-29,20.35,0.003,0,14000,0.0,690.0152,14041.81,18618.05
2022-11-30,20.56,0.0075,0,14000,0.0,690.0152,14186.71,18758.35
2022-12-01,20.49,0.0029,0,14000,0.0,690.0152,14138.41,18812.5
2022-12-02,20.41,-0.0062,9000,23000,440.9603,1130.9755,23083.21,18696.1
2022-12-05,20.54,0.0003,0,23000,0.0,1130.9755,23230.24,18701.05
2022-12-06,20.54,-0.0031,2000,25000,97.371,1228.3465,25230.24,18642.75
2022-12-07,20.39,-0.0044,1000,26000,49.0436,1277.3901,26045.98,18560.5
2022-12-08,20.45,0.0026,0,26000,0.0,1277.3901,26122.63,18609.35
2022-12-09,20.39,-0.0061,2000,28000,98.0873,1375.4774,28045.98,18496.6
2022-12-12,20.4,0.0,0,28000,0.0,1375.4774,28059.74,18497.15
2022-12-13,20.44,0.006,0,28000,0.0,1375.4774,28114.76,18608.0
2022-12-14,20.58,0.0028,0,28000,0.0,1375.4774,28307.33,18660.3
2022-12-15,20.46,-0.0132,4000,32000,195.5034,1570.9808,32142.27,18414.9
2022-12-16,20.0,-0.0079,1000,33000,50.0,1620.9808,32419.62,18269.0
2022-12-19,20.19,0.0083,0,33000,0.0,1620.9808,32727.6,18420.45
2022-12-20,20.16,-0.0019,2000,35000,99.2063,1720.1872,34678.97,18385.3
2022-12-21,19.88,-0.0101,1000,36000,50.3018,1770.489,35197.32,18199.1
2022-12-22,19.62,-0.0039,1000,37000,50.9684,1821.4574,35736.99,18127.35
2022-12-23,19.11,-0.0177,1000,38000,52.3286,1873.786,35808.05,17806.8
2022-12-26,19.48,0.0117,0,38000,0.0,1873.786,36501.35,18014.6
2022-12-27,19.55,0.0065,0,38000,0.0,1873.786,36632.52,18132.3
2022-12-28,19.65,-0.0005,3000,41000,152.6718,2026.4578,39819.9,18122.5
2022-12-29,19.75,0.0038,0,41000,0.0,2026.4578,40022.54,18191.0
2022-12-30,19.7,-0.0047,2000,43000,101.5228,2127.9806,41921.22,18105.3
2023-01-02,19.73,0.0051,0,43000,0.0,2127.9806,41985.06,18197.45
2023-01-03,19.72,0.0019,0,43000,0.0,2127.9806,41963.78,18232.55
2023-01-04,19.47,-0.0104,3000,46000,154.0832,2282.0638,44431.78,18042.95
2023-01-05,19.63,-0.0028,1000,47000,50.9424,2333.0063,45796.91,17992.15
2023-01-06,19.37,-0.0074,1000,48000,51.6262,2384.6325,46190.33,17859.45
2023-01-09,19.74,0.0135,0,48000,0.0,2384.6325,47072.65,18101.2
2023-01-10,19.38,-0.0103,2000,50000,103.1992,2487.8317,48214.18,17914.15
2023-01-11,19.31,-0.001,1000,51000,51.7866,2539.6183,49040.03,17895.7
2023-01-12,19.25,-0.0021,1000,52000,51.9481,2591.5663,49887.65,17858.2
2023-01-13,19.4,0.0055,0,52000,0.0,2591.5663,50276.39,17956.6
2023-01-16,19.41,-0.0034,2000,54000,103.0397,2694.606,52302.3,17894.85
2023-01-17,19.38,0.0089,0,54000,0.0,2694.606,52221.46,18053.3
2023-01-18,19.43,0.0062,0,54000,0.0,2694.606,52356.19,18165.35
2023-01-19,19.39,-0.0032,3000,57000,154.7189,2849.3249,55248.41,18107.85
2023-01-20,19.31,-0.0044,1000,58000,51.7866,2901.1116,56020.46,18027.65
2023-01-23,19.42,0.005,0,58000,0.0,2901.1116,56339.59,18118.55
