Date,ETF Close,NIFTY Return,RSI,MA20,Invested Today,Carry Over,Additional Invest,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close,Daily_Return
2020-01-29,64.47,0.0061,44.82,12201.5,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,12129.5,
2020-01-30,64.14,-0.0077,37.54,12189.18,1886.25,500.0,386.25,1886.25,29.4083,29.4083,1886.25,12035.8,inf
2020-01-31,64.87,-0.0061,29.3,12175.96,1556.17,250.0,306.17,3442.42,23.9891,53.3974,3463.89,11962.1,0.8363896620278328
2020-02-01,63.81,-0.0251,19.68,12159.4,2380.01,125.0,1255.01,5822.42,37.2983,90.6957,5787.29,11661.85,0.6707487824382414
2020-02-03,63.97,0.0039,23.12,12142.14,0.0,1125.0,0.0,5822.42,0.0,90.6957,5801.8,11707.9,0.0025072184044692136
2020-02-04,64.66,0.0232,36.96,12139.86,0.0,2125.0,0.0,5822.42,0.0,90.6957,5864.38,11979.65,0.01078630769761113
2020-02-05,66.02,0.0091,41.5,12133.52,0.0,3125.0,0.0,5822.42,0.0,90.6957,5987.73,12089.15,0.02103376657037903
2020-02-06,66.43,0.004,47.05,12127.58,0.0,4125.0,0.0,5822.42,0.0,90.6957,6024.91,12137.95,0.006209364817719054
2020-02-07,66.66,-0.0033,47.54,12116.02,0.0,5125.0,163.12,5822.42,0.0,90.6957,6045.77,12098.35,0.0034622923827909435
2020-02-10,66.27,-0.0055,47.41,12099.48,0.0,6125.0,276.28,5822.42,0.0,90.6957,6010.4,12031.5,-0.005850371416709632
2020-02-11,67.14,0.0063,47.52,12087.71,0.0,7125.0,0.0,5822.42,0.0,90.6957,6089.31,12107.9,0.013128909889524865
2020-02-12,67.14,0.0077,48.42,12080.0,0.0,8125.0,0.0,5822.42,0.0,90.6957,6089.31,12201.2,0.0
2020-02-13,67.43,-0.0022,52.01,12071.11,0.0,9125.0,108.8,5822.42,0.0,90.6957,6115.61,12174.65,0.004319044358063406
2020-02-14,67.8,-0.005,52.09,12065.56,0.0,10125.0,251.34,5822.42,0.0,90.6957,6149.17,12113.45,0.005487596494871294
2020-02-17,68.29,-0.0056,46.96,12059.35,0.0,11125.0,279.24,5822.42,0.0,90.6957,6193.61,12045.8,0.007226991610249867
2020-02-18,67.46,-0.0044,48.38,12053.63,0.0,12125.0,221.24,5822.42,0.0,90.6957,6118.33,11992.5,-0.012154462421753998
2020-02-19,67.67,0.0111,55.87,12050.91,0.0,13125.0,0.0,5822.42,0.0,90.6957,6137.38,12125.9,0.003113594722742974
2020-02-20,68.62,-0.0037,68.39,12042.54,0.0,14125.0,185.76,5822.42,0.0,90.6957,6223.54,12080.85,0.0140385636867848
2020-02-24,65.97,-0.0208,54.52,12028.06,0.0,15125.0,1040.7,5822.42,0.0,90.6957,5983.19,11829.4,-0.03861949951313892
2020-02-25,65.48,-0.0027,41.77,12015.16,8695.64,7562.5,133.14,14518.07,132.7985,223.4941,14634.4,11797.9,1.4459193172872666
2020-02-26,63.22,-0.0101,31.58,11992.62,5287.27,3781.25,506.02,19805.34,83.6329,307.127,19416.57,11678.5,0.3267759525501559
2020-02-27,63.31,-0.0039,27.29,11972.49,3084.14,1890.62,193.52,22889.48,48.7149,355.842,22528.36,11633.3,0.16026466054509125
2020-02-28,60.02,-0.0371,20.17,11934.47,3800.12,945.31,1854.8,26689.6,63.3142,419.1562,25157.75,11201.75,0.11671466542615616
2020-03-02,61.73,-0.0062,20.14,11908.02,1780.64,472.66,307.99,28470.24,28.8457,448.0018,27655.15,11132.75,0.09926960876866975
2020-03-03,64.3,0.0153,24.84,11887.79,0.0,1472.66,0.0,28470.24,0.0,448.0018,28806.52,11303.3,0.041633113543046996
2020-03-04,63.0,-0.0046,19.51,11851.36,1967.68,736.33,231.35,30437.92,31.233,479.2348,30191.79,11251.0,0.04808876601547141
2020-03-05,63.46,0.0016,20.78,11810.35,0.0,1736.33,0.0,30437.92,0.0,479.2348,30412.24,11269.0,0.007301653860205093
2020-03-06,62.92,-0.0248,18.21,11752.92,3108.51,868.16,1240.35,33546.43,49.4042,528.639,33261.97,10989.45,0.09370339047699217
2020-03-09,60.74,-0.049,14.38,11670.58,3881.88,434.08,2447.8,37428.32,63.9098,592.5489,35991.42,10451.45,0.08205918049953143
2020-03-11,60.58,0.0007,15.01,11591.92,0.0,1434.08,0.0,37428.32,0.0,592.5489,35896.61,10458.4,-0.00263423893805792
2020-03-12,57.4,-0.083,6.68,11466.04,5868.01,717.04,4150.97,43296.33,102.2301,694.779,39880.32,9590.15,0.11097733184275627
2020-03-13,55.69,0.0381,17.26,11353.74,0.0,1717.04,0.0,43296.33,0.0,694.779,38692.24,9955.2,-0.029791135076147834
2020-03-16,55.26,-0.0761,14.94,11204.87,5664.57,858.52,3806.05,48960.9,102.5076,797.2866,44058.06,9197.4,0.1386794871529795
2020-03-17,52.9,-0.025,14.18,11047.55,2681.52,429.26,1252.26,51642.42,50.6903,847.9769,44857.98,8967.05,0.01815604227694112
