Date,ETF Close,NIFTY Return,RSI,MA20,Invested Today,Carry Over,Additional Invest,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close,Daily_Return
2023-11-30,15963.25,0.0079,99.19,15388.16,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,15963.25,
2023-12-01,16104.8,0.0089,99.27,15457.47,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,16104.8,
2023-12-04,16302.45,0.0123,99.34,15531.64,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,16302.45,
2023-12-05,16364.1,0.0038,100.0,15602.16,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,16364.1,
2023-12-06,16389.05,0.0015,100.0,15671.9,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,16389.05,
2023-12-07,16479.85,0.0055,100.0,15738.96,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,16479.85,
2023-12-08,16447.95,-0.0019,96.55,15804.22,0.0,7000.0,96.78,0.0,0.0,0.0,0.0,16447.95,
2023-12-11,16560.5,0.0068,96.92,15872.28,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,16560.5,
2023-12-12,16490.5,-0.0042,90.73,15931.86,0.0,9000.0,211.35,0.0,0.0,0.0,0.0,16490.5,
2023-12-13,16629.55,0.0084,91.56,15998.73,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,16629.55,
2023-12-14,16813.75,0.0111,92.59,16068.18,0.0,11000.0,0.0,0.0,0.0,0.0,0.0,16813.75,
2023-12-15,16850.05,0.0022,92.62,16134.04,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,16850.05,
2023-12-18,16902.45,0.0031,92.57,16199.86,0.0,13000.0,0.0,0.0,0.0,0.0,0.0,16902.45,
2023-12-19,16836.75,-0.0039,87.43,16262.21,0.0,14000.0,194.35,0.0,0.0,0.0,0.0,16836.75,
2023-12-20,16323.9,-0.0305,60.47,16298.65,0.0,15000.0,1523.01,0.0,0.0,0.0,0.0,16323.9,
2023-12-21,16560.65,0.0145,62.55,16345.39,0.0,16000.0,0.0,0.0,0.0,0.0,0.0,16560.65,
2023-12-22,16693.0,0.008,61.15,16397.96,0.0,17000.0,0.0,0.0,0.0,0.0,0.0,16693.0,
2023-12-26,16787.0,0.0056,61.85,16453.64,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,16787.0,
2023-12-27,16852.45,0.0039,62.7,16509.54,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,16852.45,
2023-12-28,16933.75,0.0048,62.51,16564.29,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,16933.75,
2023-12-29,17077.05,0.0085,66.33,16619.98,0.0,21000.0,0.0,0.0,0.0,0.0,0.0,17077.05,
2024-01-01,17174.0,0.0057,66.06,16673.44,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,17174.0,
2024-01-02,17148.1,-0.0015,67.62,16715.72,0.0,23000.0,75.4,0.0,0.0,0.0,0.0,17148.1,
2024-01-03,17189.95,0.0024,65.84,16757.01,0.0,24000.0,0.0,0.0,0.0,0.0,0.0,17189.95,
2024-01-04,17443.75,0.0148,67.13,16809.75,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,17443.75,
2024-01-05,17499.65,0.0032,67.48,16860.74,0.0,26000.0,0.0,0.0,0.0,0.0,0.0,17499.65,
2024-01-08,17350.55,-0.0085,61.46,16905.87,0.0,27000.0,426.01,0.0,0.0,0.0,0.0,17350.55,
2024-01-09,17382.0,0.0018,64.19,16946.94,0.0,28000.0,0.0,0.0,0.0,0.0,0.0,17382.0,
2024-01-10,17425.35,0.0025,87.94,16993.68,0.0,29000.0,0.0,0.0,0.0,0.0,0.0,17425.35,
2024-01-11,17500.5,0.0043,86.43,17037.23,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,17500.5,
