Date,ETF Close,NIFTY Return,RSI,MA20,Invested Today,Carry Over,Additional Invest,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close,Daily_Return
2020-01-29,29.19,0.0061,44.82,12201.5,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,12129.5,
2020-01-30,28.83,-0.0077,37.54,12189.18,1886.25,500.0,386.25,1886.25,65.4266,65.4266,1886.25,12035.8,inf
2020-01-31,28.65,-0.0061,29.3,12175.96,1556.17,250.0,306.17,3442.42,54.3166,119.7432,3430.64,11962.1,0.8187620941020544
2020-02-01,27.79,-0.0251,19.68,12159.4,2380.01,125.0,1255.01,5822.42,85.6425,205.3857,5707.67,11661.85,0.6637332975771286
2020-02-03,27.79,0.0039,23.12,12142.14,0.0,1125.0,0.0,5822.42,0.0,205.3857,5707.67,11707.9,0.0
2020-02-04,28.29,0.0232,36.96,12139.86,0.0,2125.0,0.0,5822.42,0.0,205.3857,5810.36,11979.65,0.017991579751457154
2020-02-05,28.73,0.0091,41.5,12133.52,0.0,3125.0,0.0,5822.42,0.0,205.3857,5900.73,12089.15,0.01555325315470979
2020-02-06,29.15,0.004,47.05,12127.58,0.0,4125.0,0.0,5822.42,0.0,205.3857,5986.99,12137.95,0.0146185302496471
2020-02-07,29.36,-0.0033,47.54,12116.02,0.0,5125.0,163.12,5822.42,0.0,205.3857,6030.12,12098.35,0.007203953906721017
2020-02-10,29.18,-0.0055,47.41,12099.48,0.0,6125.0,276.28,5822.42,0.0,205.3857,5993.15,12031.5,-0.006130889600870382
2020-02-11,29.05,0.0063,47.52,12087.71,0.0,7125.0,0.0,5822.42,0.0,205.3857,5966.45,12107.9,-0.004455086223438376
2020-02-12,29.03,0.0077,48.42,12080.0,0.0,8125.0,0.0,5822.42,0.0,205.3857,5962.35,12201.2,-0.0006871757912996213
2020-02-13,29.14,-0.0022,52.01,12071.11,0.0,9125.0,108.8,5822.42,0.0,205.3857,5984.94,12174.65,0.0037887745603661926
2020-02-14,28.86,-0.005,52.09,12065.56,0.0,10125.0,251.34,5822.42,0.0,205.3857,5927.43,12113.45,-0.009609118888409762
2020-02-17,28.51,-0.0056,46.96,12059.35,0.0,11125.0,279.24,5822.42,0.0,205.3857,5855.55,12045.8,-0.012126672099037838
2020-02-18,28.4,-0.0044,48.38,12053.63,0.0,12125.0,221.24,5822.42,0.0,205.3857,5832.95,11992.5,-0.0038595862045410767
2020-02-19,28.93,0.0111,55.87,12050.91,0.0,13125.0,0.0,5822.42,0.0,205.3857,5941.81,12125.9,0.018662940707532272
2020-02-20,29.04,-0.0037,68.39,12042.54,0.0,14125.0,185.76,5822.42,0.0,205.3857,5964.4,12080.85,0.0038018718202028623
2020-02-24,28.4,-0.0208,54.52,12028.06,0.0,15125.0,1040.7,5822.42,0.0,205.3857,5832.95,11829.4,-0.02203909865200182
2020-02-25,28.23,-0.0027,41.77,12015.16,8695.64,7562.5,133.14,14518.07,308.0284,513.4141,14493.68,11797.9,1.4847941436151522
2020-02-26,27.78,-0.0101,31.58,11992.62,5287.27,3781.25,506.02,19805.34,190.3266,703.7407,19549.92,11678.5,0.348858260979958
2020-02-27,27.79,-0.0039,27.29,11972.49,3084.14,1890.62,193.52,22889.48,110.9803,814.721,22641.1,11633.3,0.1581172710681169
2020-02-28,26.85,-0.0371,20.17,11934.47,3800.12,945.31,1854.8,26689.6,141.5314,956.2524,25675.38,11201.75,0.13401645679759389
2020-03-02,26.82,-0.0062,20.14,11908.02,1780.64,472.66,307.99,28470.24,66.3924,1022.6448,27427.33,11132.75,0.06823462788087276
2020-03-03,27.28,0.0153,24.84,11887.79,0.0,1472.66,0.0,28470.24,0.0,1022.6448,27897.75,11303.3,0.017151505450949678
2020-03-04,27.05,-0.0046,19.51,11851.36,1967.68,736.33,231.35,30437.92,72.7422,1095.387,29630.22,11251.0,0.062100707046267134
2020-03-05,27.26,0.0016,20.78,11810.35,0.0,1736.33,0.0,30437.92,0.0,1095.387,29860.25,11269.0,0.007763357815095517
2020-03-06,26.67,-0.0248,18.21,11752.92,3108.51,868.16,1240.35,33546.43,116.5547,1211.9417,32322.48,10989.45,0.08245845229025206
2020-03-09,25.57,-0.049,14.38,11670.58,3881.88,434.08,2447.8,37428.32,151.814,1363.7557,34871.23,10451.45,0.07885378844692625
2020-03-11,25.28,0.0007,15.01,11591.92,0.0,1434.08,0.0,37428.32,0.0,1363.7557,34475.74,10458.4,-0.011341441067608038
2020-03-12,23.4,-0.083,6.68,11466.04,5868.01,717.04,4150.97,43296.33,250.7697,1614.5253,37779.89,9590.15,0.09583985724454358
2020-03-13,24.22,0.0381,17.26,11353.74,0.0,1717.04,0.0,43296.33,0.0,1614.5253,39103.8,9955.2,0.03504271717043128
2020-03-16,24.67,-0.0761,14.94,11204.87,5664.57,858.52,3806.05,48960.9,229.6138,1844.1391,45494.91,9197.4,0.16343961456431355
2020-03-17,25.11,-0.025,14.18,11047.55,2681.52,429.26,1252.26,51642.42,106.7908,1950.9299,48987.85,8967.05,0.07677650093164257
2020-03-18,25.88,-0.0556,12.94,10868.7,3992.86,214.63,2778.23,55635.27,154.2835,2105.2134,54482.92,8468.8,0.11217209981658716
2020-03-19,25.4,-0.0242,12.48,10682.25,2319.71,107.32,1212.39,57954.98,91.327,2196.5404,55792.13,8263.45,0.024029732620791888
2020-03-20,22.04,0.0583,22.96,10513.23,0.0,1107.32,0.0,57954.98,0.0,2196.5404,48411.75,8745.45,-0.13228353174542717
2020-03-23,24.49,-0.1298,18.59,10289.7,8043.89,553.66,6490.23,65998.87,328.4561,2524.9965,61837.16,7610.25,0.2773171802300063
2020-03-24,22.91,0.0251,18.88,10088.28,0.0,1553.66,0.0,65998.87,0.0,2524.9965,57847.67,7801.05,-0.06451606121626552
2020-03-25,22.47,0.0662,25.93,9914.28,0.0,2553.66,0.0,65998.87,0.0,2524.9965,56736.67,8317.85,-0.019205613640099983
2020-03-26,22.68,0.0389,29.47,9762.42,0.0,3553.66,0.0,65998.87,0.0,2524.9965,57266.92,8641.45,0.009345807570306786
2020-03-27,23.0,0.0022,31.02,9613.77,0.0,4553.66,0.0,65998.87,0.0,2524.9965,58074.92,8660.25,0.014109367152974173
2020-03-30,24.37,-0.0438,31.85,9467.74,5465.85,2276.83,2189.02,71464.72,224.2861,2749.2826,67000.02,8281.1,0.15368251906330666
2020-03-31,24.25,0.0382,35.2,9340.99,0.0,3276.83,0.0,71464.72,0.0,2749.2826,66670.1,8597.75,-0.0049241776345738675
2020-04-01,24.55,-0.04,38.41,9188.52,4638.65,1638.41,2000.23,76103.37,188.9469,2938.2296,72133.54,8253.8,0.08194737970994481
2020-04-03,25.35,-0.0206,33.2,9030.16,2849.04,819.21,1029.83,78952.41,112.388,3050.6176,77333.16,8083.8,0.07208325003874783
2020-04-07,24.99,0.0876,46.33,8906.31,0.0,1819.21,0.0,78952.41,0.0,3050.6176,76234.93,8792.2,-0.014201281830459433
2020-04-08,24.71,-0.0049,47.95,8794.28,0.0,2819.21,247.09,78952.41,0.0,3050.6176,75380.76,8748.75,-0.011204443947151255
2020-04-09,24.28,0.0415,56.19,8727.3,0.0,3819.21,0.0,78952.41,0.0,3050.6176,74068.99,9111.9,-0.01740192059618384
2020-04-13,22.99,-0.013,57.15,8654.08,0.0,4819.21,647.78,78952.41,0.0,3050.6176,70133.7,8993.85,-0.0531300615817768
2020-04-15,23.75,-0.0076,51.91,8620.83,0.0,5819.21,381.09,78952.41,0.0,3050.6176,72452.17,8925.3,0.03305785948837725
2020-04-16,24.75,0.0076,69.05,8572.71,0.0,6819.21,0.0,78952.41,0.0,3050.6176,75502.78,8992.8,0.04210515709881424
2020-04-17,25.38,0.0305,69.74,8576.18,0.0,7819.21,0.0,78952.41,0.0,3050.6176,77424.67,9266.75,0.02545455942152053
2020-04-20,24.98,-0.0005,64.75,8590.92,0.0,8819.21,26.44,78952.41,0.0,3050.6176,76204.43,9261.85,-0.015760351319547228
2020-04-21,24.62,-0.0303,55.39,8616.55,0.0,9819.21,1513.74,78952.41,0.0,3050.6176,75106.2,8981.45,-0.014411629350157162
2020-04-22,23.8,0.0229,57.88,8662.74,0.0,10819.21,0.0,78952.41,0.0,3050.6176,72604.7,9187.3,-0.033306171794072914
2020-04-23,24.37,0.0138,66.7,8691.17,0.0,11819.21,0.0,78952.41,0.0,3050.6176,74343.55,9313.9,0.023949551475317854
2020-04-24,24.38,-0.0171,59.49,8768.38,0.0,12819.21,856.25,78952.41,0.0,3050.6176,74374.06,9154.4,0.00041039202459391966
2020-04-27,24.48,0.014,68.92,8842.44,0.0,13819.21,0.0,78952.41,0.0,3050.6176,74679.12,9282.3,0.004101698898782757
2020-04-28,24.45,0.0106,74.5,8895.59,0.0,14819.21,0.0,78952.41,0.0,3050.6176,74587.6,9380.9,-0.0012255098881720494
2020-04-29,24.36,0.0184,68.03,8941.19,0.0,15819.21,0.0,78952.41,0.0,3050.6176,74313.04,9553.35,-0.003681040816436165
2020-04-30,24.65,0.0321,73.4,9001.17,0.0,16819.21,0.0,78952.41,0.0,3050.6176,75197.72,9859.9,0.011904774720560507
2020-05-04,24.78,-0.0574,53.52,9051.79,0.0,17819.21,2872.24,78952.41,0.0,3050.6176,75594.3,9293.5,0.005273830110806621
2020-05-05,24.52,-0.0095,54.16,9082.18,0.0,18819.21,472.91,78952.41,0.0,3050.6176,74801.14,9205.6,-0.010492325479566578
2020-05-06,24.79,0.0071,56.79,9133.04,0.0,19819.21,0.0,78952.41,0.0,3050.6176,75624.81,9270.9,0.011011463194277482
2020-05-07,24.87,-0.0078,54.05,9188.8,0.0,20819.21,387.5,78952.41,0.0,3050.6176,75868.86,9199.05,0.00322711554581101
2020-05-08,25.04,0.0057,49.67,9211.76,0.0,21819.21,0.0,78952.41,0.0,3050.6176,76387.46,9251.5,0.006835479009438261
2020-05-11,24.58,-0.0013,49.51,9236.28,0.0,22819.21,66.48,78952.41,0.0,3050.6176,74984.18,9239.2,-0.018370554538663986
2020-05-12,24.55,-0.0046,55.13,9240.52,0.0,23819.21,230.81,78952.41,0.0,3050.6176,74892.66,9196.55,-0.0012205241158866897
2020-05-13,23.95,0.0203,54.72,9260.0,0.0,24819.21,0.0,78952.41,0.0,3050.6176,73062.29,9383.55,-0.02443991173500859
2020-05-14,23.9,-0.0257,46.1,9270.88,0.0,25819.21,1283.1,78952.41,0.0,3050.6176,72909.76,9142.75,-0.002087670671149233
2020-05-15,23.72,-0.0006,49.57,9278.08,0.0,26819.21,32.27,78952.41,0.0,3050.6176,72360.65,9136.85,-0.007531364799445273
2020-05-18,23.36,-0.0343,39.68,9255.9,16125.73,13409.6,1716.13,95078.14,690.3138,3740.9314,87388.16,8823.25,0.20767516599146107
2020-05-19,23.38,0.0063,38.5,9236.76,0.0,14409.6,0.0,95078.14,0.0,3740.9314,87462.98,8879.1,0.0008561800591748714
2020-05-20,23.32,0.0211,38.92,9241.02,0.0,15409.6,0.0,95078.14,0.0,3740.9314,87238.52,9066.55,-0.0025663429258869774
