Date,ETF Close,NIFTY Return,RSI,MA20,Invested Today,Carry Over,Additional Invest,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close,Daily_Return
2022-09-12,446.9,0.0058,63.71,17680.29,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,17936.35,
2022-09-13,446.57,0.0075,64.73,17698.88,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,18070.05,
2022-09-14,451.07,-0.0037,61.65,17707.81,0.0,3000.0,183.45,0.0,0.0,0.0,0.0,18003.75,
2022-09-15,450.14,-0.007,60.11,17704.47,0.0,4000.0,350.9,0.0,0.0,0.0,0.0,17877.4,
2022-09-16,446.08,-0.0194,49.32,17683.18,0.0,5000.0,969.24,0.0,0.0,0.0,0.0,17530.85,
2022-09-19,441.0,0.0052,58.1,17676.38,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,17622.25,
2022-09-20,448.46,0.011,51.72,17692.65,0.0,7000.0,0.0,0.0,0.0,0.0,0.0,17816.25,
2022-09-21,440.27,-0.0055,55.7,17699.7,0.0,8000.0,274.75,0.0,0.0,0.0,0.0,17718.35,
2022-09-22,441.08,-0.005,52.78,17700.94,0.0,9000.0,249.88,0.0,0.0,0.0,0.0,17629.8,
2022-09-23,439.94,-0.0172,40.6,17691.18,6357.78,4500.0,857.78,6357.78,14.4515,14.4515,6357.78,17327.35,inf
2022-09-26,424.37,-0.018,34.79,17664.05,4147.57,2250.0,897.57,10505.35,9.7735,24.2249,10280.34,17016.3,0.6169700744599531
2022-09-27,426.67,-0.0005,35.16,17648.78,2151.15,1125.0,26.15,12656.5,5.0417,29.2667,12487.21,17007.4,0.2146689700924287
2022-09-28,420.34,-0.0087,27.11,17603.74,1999.96,562.5,437.46,14656.46,4.7579,34.0246,14301.91,16858.6,0.14532469622918187
2022-09-29,423.85,-0.0024,25.35,17567.51,1401.37,281.25,120.12,16057.82,3.3063,37.3309,15822.7,16818.1,0.10633474829585698
2022-09-30,420.53,0.0164,31.14,17545.25,0.0,1281.25,0.0,16057.82,0.0,37.3309,15698.76,17094.35,-0.007833049985148
2022-10-03,412.79,-0.0121,24.36,17506.33,2246.09,640.62,605.46,18303.91,5.4412,42.7721,17655.91,16887.35,0.12466908214406747
