Date,ETF Close,NIFTY Return,RSI,MA20,Invested Today,Carry Over,Additional Invest,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close,Daily_Return
2020-01-29,128.76,0.0061,44.82,12201.5,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,12129.5,
2020-01-30,127.74,-0.0077,37.54,12189.18,1886.25,500.0,386.25,1886.25,14.7663,14.7663,1886.25,12035.8,inf
2020-01-31,127.17,-0.0061,29.3,12175.96,1556.17,250.0,306.17,3442.42,12.2369,27.0032,3434.0,11962.1,0.8205434062292909
2020-02-01,124.71,-0.0251,19.68,12159.4,2380.01,125.0,1255.01,5822.42,19.0843,46.0876,5747.58,11661.85,0.6737274315666861
2020-02-03,124.42,0.0039,23.12,12142.14,0.0,1125.0,0.0,5822.42,0.0,46.0876,5734.21,11707.9,-0.0023261964165788296
2020-02-04,126.75,0.0232,36.96,12139.86,0.0,2125.0,0.0,5822.42,0.0,46.0876,5841.6,11979.65,0.018727950319224584
2020-02-05,127.91,0.0091,41.5,12133.52,0.0,3125.0,0.0,5822.42,0.0,46.0876,5895.06,12089.15,0.009151602300739636
2020-02-06,128.94,0.004,47.05,12127.58,0.0,4125.0,0.0,5822.42,0.0,46.0876,5942.53,12137.95,0.008052504978744768
2020-02-07,128.19,-0.0033,47.54,12116.02,0.0,5125.0,163.12,5822.42,0.0,46.0876,5907.96,12098.35,-0.005817387543689212
2020-02-10,127.91,-0.0055,47.41,12099.48,0.0,6125.0,276.28,5822.42,0.0,46.0876,5895.06,12031.5,-0.002183494810391373
2020-02-11,128.3,0.0063,47.52,12087.71,0.0,7125.0,0.0,5822.42,0.0,46.0876,5913.03,12107.9,0.0030483150298723505
2020-02-12,129.19,0.0077,48.42,12080.0,0.0,8125.0,0.0,5822.42,0.0,46.0876,5954.05,12201.2,0.006937221695137774
2020-02-13,129.3,-0.0022,52.01,12071.11,0.0,9125.0,108.8,5822.42,0.0,46.0876,5959.12,12174.65,0.0008515212334461175
2020-02-14,128.38,-0.005,52.09,12065.56,0.0,10125.0,251.34,5822.42,0.0,46.0876,5916.72,12113.45,-0.007115144517982452
2020-02-17,127.84,-0.0056,46.96,12059.35,0.0,11125.0,279.24,5822.42,0.0,46.0876,5891.83,12045.8,-0.004206722643626981
2020-02-18,127.34,-0.0044,48.38,12053.63,0.0,12125.0,221.24,5822.42,0.0,46.0876,5868.79,11992.5,-0.003910499793782218
2020-02-19,128.59,0.0111,55.87,12050.91,0.0,13125.0,0.0,5822.42,0.0,46.0876,5926.4,12125.9,0.009816333520197507
2020-02-20,128.36,-0.0037,68.39,12042.54,0.0,14125.0,185.76,5822.42,0.0,46.0876,5915.8,12080.85,-0.0017886069114469993
2020-02-24,125.73,-0.0208,54.52,12028.06,0.0,15125.0,1040.7,5822.42,0.0,46.0876,5794.59,11829.4,-0.020489198417796395
2020-02-25,125.34,-0.0027,41.77,12015.16,8695.64,7562.5,133.14,14518.07,69.3764,115.464,14472.26,11797.9,1.497546849733976
2020-02-26,124.04,-0.0101,31.58,11992.62,5287.27,3781.25,506.02,19805.34,42.6255,158.0895,19609.43,11678.5,0.3549666741752844
2020-02-27,123.64,-0.0039,27.29,11972.49,3084.14,1890.62,193.52,22889.48,24.9445,183.0341,22630.33,11633.3,0.15405343245571146
2020-02-28,119.29,-0.0371,20.17,11934.47,3800.12,945.31,1854.8,26689.6,31.8561,214.8902,25634.25,11201.75,0.1327386741598553
2020-03-02,118.39,-0.0062,20.14,11908.02,1780.64,472.66,307.99,28470.24,15.0405,229.9307,27221.49,11132.75,0.06191872202229454
2020-03-03,120.4,0.0153,24.84,11887.79,0.0,1472.66,0.0,28470.24,0.0,229.9307,27683.66,11303.3,0.01697813014643934
2020-03-04,119.52,-0.0046,19.51,11851.36,1967.68,736.33,231.35,30437.92,16.4632,246.3939,29448.99,11251.0,0.06376794108871442
2020-03-05,119.75,0.0016,20.78,11810.35,0.0,1736.33,0.0,30437.92,0.0,246.3939,29505.66,11269.0,0.0019243444342234017
2020-03-06,117.18,-0.0248,18.21,11752.92,3108.51,868.16,1240.35,33546.43,26.5277,272.9215,31980.95,10989.45,0.08389203969679038
2020-03-09,111.62,-0.049,14.38,11670.58,3881.88,434.08,2447.8,37428.32,34.7777,307.6992,34345.39,10451.45,0.07393276309803176
2020-03-11,111.31,0.0007,15.01,11591.92,0.0,1434.08,0.0,37428.32,0.0,307.6992,34250.0,10458.4,-0.0027773741978180944
2020-03-12,102.99,-0.083,6.68,11466.04,5868.01,717.04,4150.97,43296.33,56.9765,364.6757,37557.95,9590.15,0.09658248175182482
2020-03-13,106.36,0.0381,17.26,11353.74,0.0,1717.04,0.0,43296.33,0.0,364.6757,38786.91,9955.2,0.03272170073180258
2020-03-16,102.37,-0.0761,14.94,11204.87,5664.57,858.52,3806.05,48960.9,55.3343,420.01,42996.42,9197.4,0.10852914037235739
2020-03-17,99.2,-0.025,14.18,11047.55,2681.52,429.26,1252.26,51642.42,27.0314,447.0414,44346.51,8967.05,0.031400056097693696
2020-03-18,96.08,-0.0556,12.94,10868.7,3992.86,214.63,2778.23,55635.27,41.5576,488.5991,46944.6,8468.8,0.058586120982237366
2020-03-19,89.47,-0.0242,12.48,10682.25,2319.71,107.32,1212.39,57954.98,25.9272,514.5263,46034.66,8263.45,-0.019383273049509264
2020-03-20,92.97,0.0583,22.96,10513.23,0.0,1107.32,0.0,57954.98,0.0,514.5263,47835.51,8745.45,0.03911943739782142
2020-03-23,83.52,-0.1298,18.59,10289.7,8043.89,553.66,6490.23,65998.87,96.3109,610.8372,51017.12,7610.25,0.06651146815409725
2020-03-24,85.0,0.0251,18.88,10088.28,0.0,1553.66,0.0,65998.87,0.0,610.8372,51921.16,7801.05,0.01772032603957263
2020-03-25,89.46,0.0662,25.93,9914.28,0.0,2553.66,0.0,65998.87,0.0,610.8372,54645.5,8317.85,0.05247070751115723
2020-03-26,92.68,0.0389,29.47,9762.42,0.0,3553.66,0.0,65998.87,0.0,610.8372,56612.39,8641.45,0.035993631680559135
2020-03-27,91.26,0.0022,31.02,9613.77,0.0,4553.66,0.0,65998.87,0.0,610.8372,55745.0,8660.25,-0.015321557701414856
2020-03-30,89.17,-0.0438,31.85,9467.74,5465.85,2276.83,2189.02,71464.72,61.297,672.1342,59934.21,8281.1,0.07514952013633502
2020-03-31,91.94,0.0382,35.2,9340.99,0.0,3276.83,0.0,71464.72,0.0,672.1342,61796.02,8597.75,0.031064228593319143
2020-04-01,89.35,-0.04,38.41,9188.52,4638.65,1638.41,2000.23,76103.37,51.9155,724.0497,64693.84,8253.8,0.04689331125208396
2020-04-03,86.59,-0.0206,33.2,9030.16,2849.04,819.21,1029.83,78952.41,32.9026,756.9523,65544.5,8083.8,0.013149010786807525
2020-04-07,92.41,0.0876,46.33,8906.31,0.0,1819.21,0.0,78952.41,0.0,756.9523,69949.96,8792.2,0.06721326732220101
2020-04-08,92.82,-0.0049,47.95,8794.28,0.0,2819.21,247.09,78952.41,0.0,756.9523,70260.31,8748.75,0.004436743066043025
2020-04-09,96.23,0.0415,56.19,8727.3,0.0,3819.21,0.0,78952.41,0.0,756.9523,72841.52,9111.9,0.03673781114828567
2020-04-13,95.62,-0.013,57.15,8654.08,0.0,4819.21,647.78,78952.41,0.0,756.9523,72379.77,8993.85,-0.006339104400896578
2020-04-15,95.2,-0.0076,51.91,8620.83,0.0,5819.21,381.09,78952.41,0.0,756.9523,72061.85,8925.3,-0.004392387541435894
2020-04-16,95.68,0.0076,69.05,8572.71,0.0,6819.21,0.0,78952.41,0.0,756.9523,72425.19,8992.8,0.005042057621335028
2020-04-17,98.21,0.0305,69.74,8576.18,0.0,7819.21,0.0,78952.41,0.0,756.9523,74340.28,9266.75,0.02644231930906904
2020-04-20,97.99,-0.0005,64.75,8590.92,0.0,8819.21,26.44,78952.41,0.0,756.9523,74173.75,9261.85,-0.0022401045570449307
2020-04-21,95.6,-0.0303,55.39,8616.55,0.0,9819.21,1513.74,78952.41,0.0,756.9523,72364.64,8981.45,-0.024390164984243068
2020-04-22,97.38,0.0229,57.88,8662.74,0.0,10819.21,0.0,78952.41,0.0,756.9523,73712.01,9187.3,0.018619176437552953
2020-04-23,98.62,0.0138,66.7,8691.17,0.0,11819.21,0.0,78952.41,0.0,756.9523,74650.63,9313.9,0.012733610167461329
2020-04-24,97.1,-0.0171,59.49,8768.38,0.0,12819.21,856.25,78952.41,0.0,756.9523,73500.06,9154.4,-0.015412729939452752
2020-04-27,98.43,0.014,68.92,8842.44,0.0,13819.21,0.0,78952.41,0.0,756.9523,74506.81,9282.3,0.013697267730121476
2020-04-28,99.35,0.0106,74.5,8895.59,0.0,14819.21,0.0,78952.41,0.0,756.9523,75203.21,9380.9,0.009346796621678033
