SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
"ABGSEC","11-Mar-2026",112.93,112.93,112.26,112.26,456
"ABGSEC","09-Mar-2026",112.5,112.99,112.5,112.94,281
"ABGSEC","06-Mar-2026",112.9,112.9,112.25,112.75,349
"ABGSEC","05-Mar-2026",112.75,113.15,112.04,113.15,840
"ABGSEC","04-Mar-2026",112.5,112.89,112.23,112.81,330
"ABGSEC","02-Mar-2026",112.94,112.94,112.5,112.5,65
"ABGSEC","27-Feb-2026",112.11,112.78,112.07,112.07,222
"ABGSEC","26-Feb-2026",112.15,112.82,112.12,112.12,1810
"ABGSEC","25-Feb-2026",112.01,112.61,112.01,112.01,159
"ABGSEC","23-Feb-2026",112.22,112.34,112.01,112.01,82
"ABGSEC","20-Feb-2026",112.44,112.44,111.82,112.22,137
"ABGSEC","19-Feb-2026",112.66,112.66,111.56,112.39,219
"ABGSEC","18-Feb-2026",112.53,112.7,111.88,112.7,26
"ABGSEC","17-Feb-2026",111.62,112.7,111.62,111.74,60
"ABGSEC","16-Feb-2026",111.75,111.75,111.58,111.58,32
"ABGSEC","13-Feb-2026",111.54,111.62,111.53,111.54,95
"ABGSEC","12-Feb-2026",111.62,111.62,111.62,111.62,5
"ABGSEC","11-Feb-2026",111.2,111.73,110.97,110.97,2582
"ABGSEC","10-Feb-2026",111.59,111.6,111,111.25,2376
"ABGSEC","09-Feb-2026",111.62,111.72,111.55,111.61,5791
"ABGSEC","06-Feb-2026",110.99,113.06,110.99,113.06,514
"ABGSEC","05-Feb-2026",111.54,111.54,110.99,110.99,8
"ABGSEC","04-Feb-2026",111.1,111.58,110.99,110.99,6
"ABGSEC","03-Feb-2026",111.29,111.6,110.85,111.1,174
"ABGSEC","02-Feb-2026",111.84,111.84,111.27,111.28,1205
"ABGSEC","01-Feb-2026",111.27,112.2,111.27,111.43,1481
"ABGSEC","30-Jan-2026",111.77,111.77,111.01,111.01,104
"ABGSEC","29-Jan-2026",110.87,111.91,110.87,111.82,95
"ABGSEC","28-Jan-2026",111.53,111.54,110.88,110.88,11851
"ABGSEC","27-Jan-2026",111.33,111.67,111.27,111.3,8021
"ABGSEC","23-Jan-2026",111.26,111.26,111,111,1433
"ABGSEC","22-Jan-2026",111.26,111.26,110.9,111.26,72
"ABGSEC","21-Jan-2026",110.84,111.26,110.77,111.26,195
"ABGSEC","20-Jan-2026",110.78,111.27,110.7,110.76,657
"ABGSEC","19-Jan-2026",110.82,111.26,110.8,110.8,128
"ABGSEC","16-Jan-2026",110.93,111.26,110.82,110.82,89
"ABGSEC","13-Jan-2026",110.81,110.81,110.81,110.81,2
"ABGSEC","09-Jan-2026",111.29,111.3,111.04,111.25,11
