INDEX,CURRENT,PCNT_CHNG,OPEN,HIGH,LOW,INDICATIVE_CLOSE,PREV_CLOSE,PREV_DAY27_Feb_2026,1W_AGO_20-Feb-2026,1M_AGO27-Jan-2026,1Y_AGO_25-Feb-2025,52W_H,52W_L,30_D_PCNT_CHNG,365_D_PCNT_CHNG
"NIFTY 50","24,805.40","-1.48","24,659.25","24,989.35","24,645.10","-","25,178.65","25,178.65","25,571.25","25,175.40","22,547.55","26,373.20","21,743.65",-1.13,12.12
"NIFTY NEXT 50","68,583.00","-1.62","67,393.30","69,144.45","67,352.55","-","69,710.90","69,710.90","69,453.65","66,696.55","59,312.50","70,833.65","57,250.25",2.25,20.19
"NIFTY BANK","59,831.55","-1.15","59,204.30","60,177.50","59,148.00","-","60,529.00","60,529.00","61,172.00","59,205.45","48,608.35","61,764.85","47,702.90",2.07,23.76
"NIFTY FINANCIAL SERVICES","27,532.65","-1.21","27,353.10","27,710.45","27,329.50","-","27,869.75","27,869.75","28,210.60","27,058.00","23,036.05","28,562.50","22,934.55",2.74,19.56
"NIFTY MIDCAP SELECT","13,304.65","-1.38","13,039.70","13,450.65","13,037.55","-","13,491.45","13,491.45","13,476.00","13,137.90","11,055.35","14,118.40","5,520.25",0.36,23.53
"NIFTY 100","25,507.80","-1.50","25,308.30","25,699.55","25,296.05","-","25,897.55","25,897.55","26,217.30","25,706.15","22,987.15","26,975.15","22,177.35",-0.58,13.47
"NIFTY 200","13,909.10","-1.50","13,769.90","14,019.45","13,764.60","-","14,121.05","14,121.05","14,280.85","13,964.30","12,418.65","14,700.95","11,941.45",-0.29,14.8
"NIFTY 500","22,810.10","-1.54","22,547.00","22,992.35","22,539.65","-","23,166.85","23,166.85","23,395.00","22,819.25","20,418.75","24,144.20","19,519.85",-0.12,14.73
"NIFTY MIDCAP 50","16,546.25","-1.31","16,201.90","16,705.65","16,197.80","-","16,765.60","16,765.60","16,912.35","16,431.35","13,942.20","17,572.45","13,269.65",-0.02,22.2
"NIFTY MIDCAP 100","58,239.00","-1.48","57,090.80","58,814.35","57,074.75","-","59,115.60","59,115.60","59,513.95","57,483.65","49,702.15","61,548.85","46,966.60",0.99,21.55
"NIFTY SMALLCAP 100","16,660.95","-1.58","16,289.60","16,839.20","16,284.70","-","16,928.90","16,928.90","17,002.15","16,419.35","15,408.60","19,224.95","14,084.30",0.83,13.34
"INDIA VIX","15.98","16.58","13.70","16.38","12.83","-","13.70","13.70","14.36","14.45","13.72","23.19","8.72",15.21,14.88
"NIFTY MIDCAP 150","21,518.30","-1.51","21,079.85","21,712.00","21,075.45","-","21,847.35","21,847.35","21,918.20","21,119.10","18,408.75","22,650.05","17,269.50",1.27,21.23
"NIFTY SMALLCAP 50","8,179.60","-1.48","7,986.60","8,260.60","7,983.80","-","8,302.30","8,302.30","8,333.65","8,041.45","7,429.70","9,282.70","6,776.05",1.93,15.27
"NIFTY SMALLCAP 250","15,586.05","-1.86","15,260.70","15,749.10","15,258.10","-","15,881.05","15,881.05","15,958.80","15,345.50","14,441.70","18,077.35","13,314.70",0.51,12.58
