SYMBOL,ETF_NAME
SILVERBEES,Nippon India Mutual Fund - Nippon India Silver ETF
GOLDBEES,NIPPON INDIA ETF GOLD BEES
TATSILV,Tata Mutual Fund Tata Silver Exchange Traded Fund
TATAGOLD,Tata Mutual Fund Tata Gold Exchange Traded Fund
SILVERIETF,ICICI Prudential Mutual Fund - ICICI Prudential Silver ETF
NIFTYBEES,Nippon India ETF Nifty 50 BeES
HDFCSILVER,HDFC Mutual Fund - HDFC Silver ETF
GOLDIETF,ICICI Prudential Gold ETF
HDFCGOLD,HDFC Gold ETF
SILVER,SILVER Futures
SETFGOLD,SBI-ETF Gold
SBISILVER,SBI Mutual Fund - SBI SILVER ETF
LIQUIDBEES,Nippon India ETF Nifty 1D Rate Liquid BeES
LIQUIDCASE,Zerodha Fund House - Zerodha Nifty 1D Rate Liquid ETF
SILVERCASE,Zerodha Fund House - Zerodha Silver ETF
GOLDCASE,Zerodha Fund House - Zerodha Gold ETF
SILVER1,Kotak Mahindra Mutual Fund - Kotak Silver ETF
SILVERBETA,UTI Mutual Fund - UTI Silver Exchange Traded Fund (UTI Silver ETF)
GOLD1,Kotak Mutual Fund - Gold Exchange Traded Fund
GOLDETF,Mirae Asset Mutual Fund - Mirae Asset Gold ETF
MODEFENCE,Motilal Oswal Mutual Fund - Motilal Oswal Nifty India Defence ETF
GROWWSLVR,Groww Mutual Fund - Groww Silver ETF
NIFTYIETF,ICICI Prudential Nifty 50 ETF
ITBEES,Nippon India Mutual Fund - Nippon India ETF Nifty IT
AXISGOLD,Axis Mutual Fund - Axis Gold ETF
AXISILVER,Axis Mutual Fund - Axis Silver ETF
SETFNIF50,SBI-ETF Nifty 50
JUNIORBEES,Nippon India ETF Nifty Next 50 Junior BeES
BANKBEES,Nippon India ETF Nifty Bank BeES
HDFCSML250,HDFC Mutual Fund - HDFC NIFTY Smallcap 250 ETF
MON100,Motilal Oswal Mutual Fund - Motilal Oswal NASDAQ 100 ETF
PSUBNKBEES,Nippon India ETF Nifty PSU Bank BeES
SILVERADD,DSP  Mutual Fund - DSP Silver ETF
CPSEETF,CPSE ETF
GROWWGOLD,Groww Mutual Fund - Groww Gold ETF
LIQUID1,Kotak Mahindra Mutual Fund - Kotak Nifty 1D Rate Liquid ETF
GOLDBETA,UTI Mutual Fund - UTI Gold Exchange Traded Fund
LIQUIDADD,DSP BSE Liquid Rate ETF
METALIETF,ICICI Prudential Mutual Fund - ICICI Prudential Nifty Metal ETF
NIFTY1,NIFTY
ICICIB22,ICICI Prudential Mutual Fund - BHARAT 22 ETF
SILVERAG,Mirae Asset Mutual Fund - Mirae Asset Silver ETF
MID150BEES,NIPPON INDIA ETF NIFTY MIDCAP 150
GOLDADD,DSP Mutual Fund - DSP Gold ETF
NIFTYETF,Mirae Asset Mutual Fund - Mirae Asset Nifty 50 ETF
HDFCNIFTY,HDFC NIFTY 50 ETF
MOREALTY,Motilal Oswal Mutual Fund - Motilal Oswal Nifty Realty ETF
SMALLCAP,Mirae Asset MF-Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF
OILIETF,ICICI Prudential Mutual Fund - ICICI Prudential Nifty Oil & Gas ETF
BSLGOLDETF,Aditya Birla Sun Life Gold ETF - Growth
LICMFGOLD,LIC MF Gold EXCHANGE TRADED FUND
HNGSNGBEES,NIPPON INDIA ETF HANG SENG BEES
NIFTYBETA,UTI Nifty 50 ETF
AUTOBEES,Nippon India Mutual Fund - Nippon India Nifty Auto ETF
GROWWDEFNC,Groww Mutual Fund - Groww Nifty India Defence ETF
METAL,Mirae Asset Mutual Fund - Mirae Asset Nifty Metal ETF
PHARMABEES,Nippon India Mutual Fund - Nippon India Nifty Pharma ETF
MOVALUE,Motilal Oswal Mutual Fund - Motilal Oswal SP BSE Enhanced Value ETF
NEXT50IETF,ICICI Prudential Mutual Fund - ICICI Prudential Nifty Next 50 ETF
ITIETF,ICICI PRUDENTIAL MUTUAL FUND - ICICI Prudential Nifty IT ETF
ALPHA,Kotak Mahindra Mutual Fund - Kotak Nifty Alpha 50 ETF
MIDCAPETF,Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF
FMCGIETF,ICICI PRUDENTIAL MUTUAL FUND - ICICI Prudential Nifty FMCG ETF
AONEGOLD,Angel One Mutual Fund - Angel One Gold ETF
NEXT50,Mirae Asset Mutual Fund - MIRAE ASSET NIFTY NEXT 50 ETF (MANXT50) - Mi
LIQUIDIETF,ICICI Prudential BSE Liquid Rate ETF- IDCW
SILVER360,360 ONE Mutual Fund - 360 ONE Silver ETF
SETFNN50,SBI-ETF Nifty Next 50
ENERGY,Mirae Asset Mutual Fund - Mirae Asset Nifty Energy ETF
EBBETF0430,Edelweiss Mutual Fund - BHARAT Bond  ETF - April 2030
MOCAPITAL,Motilal Oswal Mutual Fund - Motilal Oswal Nifty Capital Market ETF
LIQUIDPLUS,Mirae Asset Mutual Fund - Mirae Asset Nifty 1D Rate Liquid ETF-Growth
ESILVER,Edelweiss Mutual Fund - Edelweiss Silver ETF
MOSILVER,Motilal Oswal Mutual Fund - Motilal Oswal Silver ETF
MOSMALL250,Motilal Oswal Mutual Fund - Motilal Oswal Nifty Smallcap 250 ETF
GROWWLIQID,Groww Mutual Fund - Groww Nifty 1D Rate Liquid ETF
LTGILTBEES,Nippon India ETF Nifty 8-13 yr G-Sec Long Term Gilt
PSUBNKIETF,ICICI Prudential Mutual Fund - ICICI Prudential Nifty PSU Bank ETF
SILVERBND,Bandhan Mutual Fund - Bandhan Silver ETF
MOGOLD,Motilal Oswal Mutual Fund - Motilal Oswal Gold ETF
MOM100,Motilal Oswal Mutual Fund - Motilal Oswal Midcap 100 ETF
LIQUIDETF,DSP NIFTY 1D Rate Liquid ETF
INFRABEES,Nippon India ETF Nifty Infrastructure BeES
PSUBANK,Kotak Nifty PSU Bank ETF
AXISNIFTY,AXIS MUTUAL FUND - Axis NIFTY 50 ETF
MIDCAPIETF,ICICI PRUDENTIAL MUTUAL FUND - ICICI Prudential Nifty Midcap 150 ETF
MAFANG,Mirae Asset Mutual Fund - Mirae Asset NYSE FANG+ ETF
MOMENTUM50,Motilal Oswal Mutual Fund - Motilal Oswal Nifty 500 Momentum 50 ETF
SENSEXIETF,ICICI Prudential BSE Sensex ETF
MAHKTECH,Mirae Asset Mutual Fund - Mirae Asset Hang Seng TECH ETF
EGOLD,Edelweiss Mutual Fund -Edelweiss Gold ETF
GOLD360,360 ONE Mutual Fund - 360 ONE Gold ETF
