Date,ETF Close,NIFTY Return,Invested Today,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close
2020-01-02,130.14,0.0082,0,0,0.0,0.0,0.0,12282.2
2020-01-03,129.71,-0.0045,2000,2000,15.419,15.419,2000.0,12226.65
2020-01-06,127.37,-0.0191,1000,3000,7.8511,23.2702,2963.92,11993.05
2020-01-07,127.76,0.005,0,3000,0.0,23.2702,2972.99,12052.95
2020-01-08,127.56,-0.0023,2000,5000,15.6789,38.9491,4968.34,12025.35
2020-01-09,129.34,0.0158,0,5000,0.0,38.9491,5037.67,12215.9
2020-01-10,129.61,0.0033,0,5000,0.0,38.9491,5048.19,12256.8
2020-01-13,130.41,0.0059,0,5000,0.0,38.9491,5079.35,12329.55
2020-01-14,131.01,0.0027,0,5000,0.0,38.9491,5102.72,12362.3
2020-01-15,131.01,-0.0015,5000,10000,38.165,77.1141,10102.72,12343.3
2020-01-16,130.91,0.001,0,10000,0.0,77.1141,10095.0,12355.5
2020-01-17,131.19,-0.0003,2000,12000,15.2451,92.3591,12116.6,12352.35
2020-01-20,129.78,-0.0103,1000,13000,7.7053,100.0645,12986.37,12224.55
2020-01-21,129.27,-0.0045,1000,14000,7.7357,107.8002,13935.34,12169.85
2020-01-22,128.53,-0.0052,1000,15000,7.7803,115.5805,14855.56,12106.9
2020-01-23,129.31,0.0061,0,15000,0.0,115.5805,14945.72,12180.35
2020-01-24,130.11,0.0056,0,15000,0.0,115.5805,15038.18,12248.25
2020-01-27,128.73,-0.0106,3000,18000,23.3046,138.8851,17878.68,12119.0
2020-01-28,128.1,-0.0052,1000,19000,7.8064,146.6915,18791.18,12055.8
2020-01-29,128.76,0.0061,0,19000,0.0,146.6915,18888.0,12129.5
2020-01-30,127.74,-0.0077,2000,21000,15.6568,162.3483,20738.37,12035.8
2020-01-31,127.17,-0.0061,1000,22000,7.8635,170.2118,21645.84,11962.1
2020-02-01,124.71,-0.0251,1000,23000,8.0186,178.2304,22227.11,11661.85
2020-02-03,124.42,0.0039,0,23000,0.0,178.2304,22175.43,11707.9
2020-02-04,126.75,0.0232,0,23000,0.0,178.2304,22590.7,11979.65
2020-02-05,127.91,0.0091,0,23000,0.0,178.2304,22797.45,12089.15
2020-02-06,128.94,0.004,0,23000,0.0,178.2304,22981.03,12137.95
2020-02-07,128.19,-0.0033,5000,28000,39.0046,217.235,27847.36,12098.35
2020-02-10,127.91,-0.0055,1000,29000,7.818,225.053,28786.53,12031.5
2020-02-11,128.3,0.0063,0,29000,0.0,225.053,28874.3,12107.9
2020-02-12,129.19,0.0077,0,29000,0.0,225.053,29074.6,12201.2
2020-02-13,129.3,-0.0022,3000,32000,23.2019,248.2549,32099.35,12174.65
2020-02-14,128.38,-0.005,1000,33000,7.7894,256.0442,32870.96,12113.45
2020-02-17,127.84,-0.0056,1000,34000,7.8223,263.8665,33732.7,12045.8
2020-02-18,127.34,-0.0044,1000,35000,7.853,271.7195,34600.76,11992.5
2020-02-19,128.59,0.0111,0,35000,0.0,271.7195,34940.41,12125.9
2020-02-20,128.36,-0.0037,2000,37000,15.5812,287.3007,36877.92,12080.85
2020-02-24,125.73,-0.0208,1000,38000,7.9536,295.2542,37122.32,11829.4
2020-02-25,125.34,-0.0027,1000,39000,7.9783,303.2325,38007.17,11797.9
2020-02-26,124.04,-0.0101,1000,40000,8.0619,311.2945,38612.96,11678.5
2020-02-27,123.64,-0.0039,1000,41000,8.088,319.3824,39488.45,11633.3
2020-02-28,119.29,-0.0371,1000,42000,8.3829,327.7654,39099.13,11201.75
2020-03-02,118.39,-0.0062,1000,43000,8.4467,336.212,39804.14,11132.75
2020-03-03,120.4,0.0153,0,43000,0.0,336.212,40479.93,11303.3
2020-03-04,119.52,-0.0046,2000,45000,16.7336,352.9456,42184.06,11251.0
2020-03-05,119.75,0.0016,0,45000,0.0,352.9456,42265.24,11269.0
2020-03-06,117.18,-0.0248,2000,47000,17.0678,370.0134,43358.17,10989.45
2020-03-09,111.62,-0.049,1000,48000,8.959,378.9724,42300.9,10451.45
2020-03-11,111.31,0.0007,0,48000,0.0,378.9724,42183.41,10458.4
2020-03-12,102.99,-0.083,2000,50000,19.4194,398.3917,41030.36,9590.15
2020-03-13,106.36,0.0381,0,50000,0.0,398.3917,42372.94,9955.2
2020-03-16,102.37,-0.0761,2000,52000,19.537,417.9287,42783.36,9197.4
2020-03-17,99.2,-0.025,1000,53000,10.0806,428.0093,42458.53,8967.05
2020-03-18,96.08,-0.0556,1000,54000,10.408,438.4173,42123.14,8468.8
2020-03-19,89.47,-0.0242,1000,55000,11.1769,449.5943,40225.2,8263.45
2020-03-20,92.97,0.0583,0,55000,0.0,449.5943,41798.78,8745.45
2020-03-23,83.52,-0.1298,2000,57000,23.9464,473.5406,39550.11,7610.25
2020-03-24,85.0,0.0251,0,57000,0.0,473.5406,40250.95,7801.05
2020-03-25,89.46,0.0662,0,57000,0.0,473.5406,42362.95,8317.85
2020-03-26,92.68,0.0389,0,57000,0.0,473.5406,43887.75,8641.45
2020-03-27,91.26,0.0022,0,57000,0.0,473.5406,43215.32,8660.25
2020-03-30,89.17,-0.0438,5000,62000,56.0727,529.6133,47225.62,8281.1
2020-03-31,91.94,0.0382,0,62000,0.0,529.6133,48692.65,8597.75
2020-04-01,89.35,-0.04,2000,64000,22.3839,551.9972,49320.95,8253.8
2020-04-03,86.59,-0.0206,1000,65000,11.5487,563.5459,48797.44,8083.8
2020-04-07,92.41,0.0876,0,65000,0.0,563.5459,52077.27,8792.2
2020-04-08,92.82,-0.0049,2000,67000,21.5471,585.0929,54308.33,8748.75
2020-04-09,96.23,0.0415,0,67000,0.0,585.0929,56303.49,9111.9
2020-04-13,95.62,-0.013,2000,69000,20.9161,606.0091,57946.59,8993.85
2020-04-15,95.2,-0.0076,1000,70000,10.5042,616.5133,58692.06,8925.3
2020-04-16,95.68,0.0076,0,70000,0.0,616.5133,58987.99,8992.8
2020-04-17,98.21,0.0305,0,70000,0.0,616.5133,60547.77,9266.75
2020-04-20,97.99,-0.0005,3000,73000,30.6154,647.1286,63412.14,9261.85
2020-04-21,95.6,-0.0303,1000,74000,10.4603,657.5889,62865.5,8981.45
2020-04-22,97.38,0.0229,0,74000,0.0,657.5889,64036.01,9187.3
2020-04-23,98.62,0.0138,0,74000,0.0,657.5889,64851.42,9313.9
2020-04-24,97.1,-0.0171,3000,77000,30.896,688.4849,66851.88,9154.4
2020-04-27,98.43,0.014,0,77000,0.0,688.4849,67767.57,9282.3
